Month,Community,Sentiment score,Sentiment label,Verbatim
2025-11,r/Ownly,0.0,neutral,"Ownly Rapido — Hi, fan anyone Guide me, How to Use Ownly Merchant ??"
2026-04,r/Ownly,-0.047,neutral,"👋Welcome to r/Ownly - Introduce Yourself and Read First! — Hello Everyone, Let me introduce myself, I'm a Cloud Kitchen Chef & Co-owner. I've created This to understand Ownly More Closely and Resolve the issues we're facing."
2026-08,r/indiranagar,0.589,positive,"Tomorrow, every order from my little cloud kitchen comes with a free watermelon juice 🍉🇮🇳 — Hi, I’m [name redacted] ❤️ I run a little cloud kitchen called** Protein Ba y in C.V. Raman Nagar. Tomorrow, on 15th August, I’ve decided I’ll be givin g a fresh watermelon juice with every order, completely …"
2026-08,r/indiranagar,0.333,positive,Sure we can do that! I am working on it. For now you can order on the Ownly app by Rapido! We have kept our prices there much much lower than Swiggy/ Zomato.
2026-08,r/indiranagar,0.0,neutral,"You can go to Zomato/Swiggy/Ownly and search ""Protein Bay"" to place your order. 🥹🧿"
2026-08,r/swiggy,-0.267,negative,this wont last long. either they will up fees or shut down. im excited as i own a cloud kitchen in bombay but they havent come here yet.
2026-08,r/hyderabad,-0.4,negative,Toing app reduces prices drastically leading to loss for my restaurant — Toing app reduces prices drastically without consent. Their concept of offline prices are not correct. They don't even contact the restaurant to know about the real prices for plating provided and how much it has actually coste…
