capture_ts,slot,auditor_id,drop_point_id,platform,account_state,subscription_active,restaurant_name,restaurant_listed,restaurant_open,basket_id,item_list,item_match_quality,menu_subtotal,packaging_fee,platform_fee,delivery_fee,small_cart_fee,surge_rain_fee,taxes_gst,discount_amount,discount_type,final_payable,eta_min_shown,eta_max_shown,screenshot_file,notes
19:45,wed_dinner,A,DP1,swiggy,existing,y,Aanimuthyalu unlimited,n,n,B3,,,,,,,,,,,,,,,DP1_wed_dinner_swiggy_R6.png,groupB
19:45,wed_dinner,A,DP1,zomato,existing,y,Aanimuthyalu unlimited,n,n,B3,,,,,,,,,,,,,,,DP1_wed_dinner_zomato_R6.png,groupB
19:45,wed_dinner,A,DP1,ownly,new,NA,Mehfil,y,y,B1,Chicken Biryani single,,,,,,,,,,,,,,DP1_wed_dinner_ownly_R7.png,groupB
19:45,wed_dinner,A,DP1,swiggy,existing,y,Mehfil,y,y,B1,Chicken Biryani single,,170,0,0,57,0,0,36.74,105,auto offer,159,30,40,DP1_wed_dinner_swiggy_R7.png,groupB
19:45,wed_dinner,A,DP1,swiggy,existing,y,Mehfil,y,y,B1,Chicken Biryani single,,170,0,0,57,0,0,36.74,0,none,264,30,40,DP1_wed_dinner_swiggy_R7.png,groupB
19:45,wed_dinner,A,DP1,zomato,existing,y,Mehfil,y,y,B1,Chicken Biryani single,,170,0,14.99,0,0,0,11.2,0,none,196.19,10,15,DP1_wed_dinner_swiggy_R7.png,groupB
19:45,wed_dinner,A,DP1,zomato,existing,y,Mehfil,y,y,B1,Chicken Biryani single,,170,0,14.99,42,0,0,11.2,0,none,238.19,10,15,DP1_wed_dinner_zomato_R7.png,groupB
19:45,wed_dinner,A,DP1,ownly,new,NA,Karachi Bakery,y,y,B2,,,,,,,,,,,,,,,DP1_wed_dinner_ownly_R8.png,groupB
19:45,wed_dinner,A,DP1,swiggy,existing,y,Karachi Bakery,y,y,B2,Chocolate truffle cake,,1200,0,0,0,0,0,17.98,120,auto offer,1098,5,10,DP1_wed_dinner_swiggy_R8.png,groupB
19:45,wed_dinner,A,DP1,swiggy,existing,y,Karachi Bakery,y,y,B2,Chocolate truffle cake,,1200,0,0,42,0,0,17.98,0,none,1260,5,10,DP1_wed_dinner_swiggy_R8.png,groupB
19:45,wed_dinner,A,DP1,zomato,existing,y,Karachi Bakery,y,y,B2,Chocolate truffle cake,,1142,60,14.99,0,0,0,9.76,0,,1224.75,10,15,DP1_wed_dinner_zomato_R8.png,groupB
19:45,wed_dinner,A,DP1,zomato,existing,y,Karachi Bakery,y,y,B2,Chocolate truffle cake,,1142,60,14.99,42,0,0,9.76,0,,1266,10,15,DP1_wed_dinner_zomato_R8.png,groupB
19:45,wed_dinner,A,DP1,ownly,new,NA,Wendy's Burgers,y,y,B2,,,,,,,,,,,,,,,DP1_wed_dinner_ownly_R9.png,groupC
19:45,wed_dinner,A,DP1,swiggy,existing,y,Wendy's Burgers,y,y,B2,Teriyaki Fried chicekn burger,,299,0,0,0,0,0,59.27,160,auto offer,198,15,20,DP1_wed_dinner_swiggy_R9.png,groupC
19:45,wed_dinner,A,DP1,swiggy,existing,y,Wendy's Burgers,y,y,B2,Teriyaki Fried chicekn burger,,299,0,0,42,0,0,59.27,0,none,,15,20,DP1_wed_dinner_swiggy_R9.png,groupC
19:45,wed_dinner,A,DP1,zomato,existing,y,Wendy's Burgers,y,y,B2,Teriyaki Fried chicekn burger,,299,29.12,14.99,0,0,0,15.35,75,coupon,283.46,20,25,DP1_wed_dinner_zomato_R9.png,groupC
19:45,wed_dinner,A,DP1,zomato,existing,y,Wendy's Burgers,y,y,B2,Teriyaki Fried chicekn burger,,299,29.12,14.99,40,0,0,15.35,0,none,,20,25,DP1_wed_dinner_zomato_R9.png,groupC
19:45,wed_dinner,A,DP1,ownly,new,NA,Pizza Hut,n,n,B2,3in1 Triple Spice Pizza Veg Per,,,,,,,,,,,,,,DP1_wed_dinner_ownly_R10.png,groupC
19:45,wed_dinner,A,DP1,swiggy,existing,y,Pizza Hut,y,y,B2,3in1 Triple Spice Pizza Veg Per,,279,0,0,0,0,0,58.18,20,auto offer,317,25,30,DP1_wed_dinner_swiggy_R10.png,groupC
