KPI,Yes,Base,Pct,CI_low,CI_high,Sample,Why_it_matters,Highlight,Sort,Label
Already pay a rival membership,33,40,82.5,68.0,91.3,OK,A membership cancels much of Ownly's list-price saving,Yes,0,82.5%  (33 of 40)
Expect the low prices to rise,35,40,87.5,73.9,94.5,OK,A price promise only works if it is believed,Yes,1,87.5%  (35 of 40)
Would stay after the intro offer,10,40,25.0,14.2,40.2,OK,Closest thing to retention the survey can see,No,2,25%  (10 of 40)
Noticed food inside Rapido,5,33,15.2,6.7,30.9,OK,Rapido reaches people; it is not making them notice Ownly,No,3,15.2%  (5 of 33)
