Funnel,Stage,Stage Order,N,Pct,CI Low,CI High
Research sample,All responses received,1,124,100.0,,
Research sample,Hyderabad branch,2,78,62.9032,,
Research sample,Passed the age screen (20–35 as collected),3,52,41.9355,,
Research sample,In the Gachibowli catchment,4,40,32.2581,,
Research sample,Gachibowli proper,5,34,27.4194,,
Research sample,Ordered food online in the last 4 weeks,6,46,37.0968,,
Ownly adoption,Heard of Ownly,1,17,42.5,28.5,57.8
Ownly adoption,Opened / browsed,2,7,17.5,8.7,31.9
Ownly adoption,Ordered,3,2,5.0,1.4,16.5
